indice,Lancelot,Bob (Dumb),Charlie (Dumb),David (Dumb)
0,310,20,310,20
1,320,10,320,10
2,0,330,0,330
3,0,240,0,240
4,40,200,40,200
5,0,240,0,240
6,60,180,60,180
7,50,190,50,190
8,410,0,410,0
9,90,160,90,160
10,0,240,0,240
11,40,200,40,200
12,90,160,90,160
13,80,160,80,160
14,60,180,60,180
15,410,0,410,0
16,20,230,20,230
17,290,30,290,30
18,0,240,0,240
19,290,40,290,40
20,70,170,70,170
21,40,200,40,200
22,0,330,0,330
23,280,50,280,50
24,50,190,50,190
25,80,170,80,170
26,260,60,260,60
27,270,60,270,60
28,290,30,290,30
29,0,240,0,240
30,410,0,410,0
31,90,160,90,160
32,30,210,30,210
33,0,240,0,240
34,0,240,0,240
35,10,240,10,240
36,260,50,260,50
37,250,70,250,70
38,0,240,0,240
39,50,190,50,190
40,0,330,0,330
41,290,30,290,30
42,300,20,300,20
43,40,200,40,200
44,70,170,70,170
45,270,50,270,50
46,290,30,290,30
47,30,210,30,210
48,310,20,310,20
49,270,50,270,50
50,250,70,250,70
51,40,200,40,200
52,300,30,300,30
53,80,160,80,160
54,0,330,0,330
55,260,60,260,60
56,270,50,270,50
57,0,330,0,330
58,90,160,90,160
59,300,20,300,20
60,80,160,80,160
61,280,30,280,30
62,0,330,0,330
63,300,20,300,20
64,0,330,0,330
65,410,0,410,0
66,260,60,260,60
67,310,10,310,10
68,60,180,60,180
69,70,180,70,180
70,410,0,410,0
71,410,0,410,0
72,310,10,310,10
73,20,220,20,220
74,30,210,30,210
75,410,0,410,0
76,280,50,280,50
77,0,330,0,330
78,60,190,60,190
79,0,330,0,330
80,260,70,260,70
81,410,0,410,0
82,260,60,260,60
83,40,210,40,210
84,250,70,250,70
85,80,160,80,160
86,290,30,290,30
87,20,220,20,220
88,300,20,300,20
89,50,200,50,200
90,0,240,0,240
91,0,330,0,330
92,60,190,60,190
93,0,240,0,240
94,40,210,40,210
95,410,0,410,0
96,290,40,290,40
97,60,180,60,180
98,70,180,70,180
99,50,200,50,200
100,290,30,290,30
101,410,0,410,0
102,70,160,70,160
103,0,240,0,240
104,310,10,310,10
105,290,40,290,40
106,80,160,80,160
107,50,190,50,190
108,80,170,80,170
109,0,240,0,240
110,410,0,410,0
111,300,20,300,20
112,0,240,0,240
113,410,0,410,0
114,40,200,40,200
115,0,240,0,240
116,20,220,20,220
117,0,240,0,240
118,280,40,280,40
119,250,70,250,70
120,20,230,20,230
121,410,0,410,0
122,60,190,60,190
123,300,20,300,20
124,290,30,290,30
125,300,20,300,20
126,260,60,260,60
127,20,230,20,230
128,40,200,40,200
129,0,330,0,330
130,270,60,270,60
131,80,170,80,170
132,70,160,70,160
133,310,10,310,10
