|████████████████████████████████████████| 1000/1000 [100%] in 5.5s (183.36/s) 
         4889224 function calls (4849928 primitive calls) in 6.827 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(concatenate)
     6001    0.018    0.000    0.044    0.000 <__array_function__ internals>:177(copyto)
     1301    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:100(acquire)
    556/7    0.004    0.000    1.429    0.204 <frozen importlib._bootstrap>:1022(_find_and_load)
        3    0.000    0.000    0.026    0.009 <frozen importlib._bootstrap>:1038(_gcd_import)
2927/2659    0.008    0.000    0.580    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     1301    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:125(release)
      556    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:165(__init__)
      556    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:169(__enter__)
      556    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:173(__exit__)
     1301    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      550    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:198(cb)
      745    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    732/6    0.001    0.000    1.401    0.233 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   102630    0.045    0.000    0.045    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      549    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
      944    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:391(cached)
      824    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      528    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      440    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
      528    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  528/525    0.002    0.000    0.077    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    528/6    0.004    0.000    1.402    0.234 <frozen importlib._bootstrap>:664(_load_unlocked)
      550    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:71(__init__)
      548    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(find_spec)
       23    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:770(create_module)
       23    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:778(exec_module)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
      525    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:826(find_spec)
     1610    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
     1610    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
      548    0.005    0.000    0.812    0.001 <frozen importlib._bootstrap>:921(_find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
    556/7    0.004    0.000    1.429    0.204 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
